UBL_REFERENCENO,POLICY_STATUS,POLICY_STATUS_DATE
S782863,A,01/31/2024
S783401,A,01/31/2024
S785162,A,01/31/2024
S785154,A,01/31/2024
S783618,A,01/31/2024
S785007,A,01/31/2024
S784236,A,01/31/2024
S784160,A,01/31/2024
S785098,A,01/31/2024
S784986,A,01/31/2024
S783535,A,01/31/2024
S785029,A,01/31/2024
S784497,A,01/31/2024
S785224,A,01/31/2024
S783499,A,01/31/2024
S784751,A,01/31/2024
S784052,A,01/31/2024
S783628,A,01/31/2024
S783297,A,01/31/2024
S785193,A,01/31/2024
S785269,A,01/31/2024
S782812,A,01/31/2024
S785042,A,01/31/2024
S784596,A,01/31/2024
S784419,A,01/31/2024
S783755,A,01/31/2024
S784643,A,01/31/2024
S783242,A,01/31/2024
S785164,A,01/31/2024
S784490,A,01/31/2024
S784492,A,01/31/2024
S784644,A,01/31/2024
S784765,A,01/31/2024
S784277,A,01/31/2024
S784760,A,01/31/2024
S784528,A,01/31/2024
S784955,A,01/31/2024
S784753,A,01/31/2024
S784231,A,01/31/2024
S784426,A,01/31/2024
S783711,A,01/31/2024
S783572,A,01/31/2024
S784750,A,01/31/2024
S783547,A,01/31/2024
S784045,A,01/31/2024
S785136,A,01/31/2024
S781780,A,01/31/2024
S783483,A,01/31/2024
S785143,A,01/31/2024
S784764,A,01/31/2024
S785088,A,01/31/2024
S785160,A,01/31/2024
S783835,A,01/31/2024
S783591,A,01/31/2024
S783814,A,01/31/2024
S784736,A,01/31/2024
S784713,A,01/31/2024
S783042,A,01/31/2024
S784452,A,01/31/2024
S783611,A,01/31/2024
S784239,A,01/31/2024
S785125,A,01/31/2024
S783284,A,01/31/2024
S784154,A,01/31/2024
S784766,A,01/31/2024
S784525,A,01/31/2024
S781804,A,01/31/2024
S784417,A,01/31/2024
S785019,A,01/31/2024
S783842,A,01/31/2024
S782131,A,01/31/2024
S782743,A,01/31/2024
S784890,A,01/31/2024
S782415,A,01/31/2024
S784598,A,01/31/2024
S783752,A,01/31/2024
S783010,A,01/31/2024
S784547,A,01/31/2024
S785079,A,01/31/2024
S784861,A,01/31/2024
S784996,A,01/31/2024
S785050,A,01/31/2024
S782229,A,01/31/2024
S784466,A,01/31/2024
S785013,A,01/31/2024
S784813,A,01/31/2024
S785158,A,01/31/2024
S784999,A,01/31/2024
S784984,A,01/31/2024
S785100,A,01/31/2024
S783654,A,01/31/2024
S785189,A,01/31/2024
S783857,A,01/31/2024
S783934,A,01/31/2024
S784479,A,01/31/2024
S784340,A,01/31/2024
S783932,A,01/31/2024
S784988,A,01/31/2024
S784178,A,01/31/2024
S784793,A,01/31/2024
S784847,A,01/31/2024
S783415,A,01/31/2024
S782550,A,01/31/2024
S781776,A,01/31/2024
S784756,A,01/31/2024
S784250,A,01/31/2024
S785114,A,01/31/2024
S782468,A,01/31/2024
S784852,A,01/31/2024
S783840,A,01/31/2024
S782265,A,01/31/2024
S780463,A,01/31/2024
S784664,A,01/31/2024
S784901,A,01/31/2024
S785138,A,01/31/2024
S784762,A,01/31/2024
S784143,A,01/31/2024
S783820,A,01/31/2024
S782541,A,01/31/2024
S783930,A,01/31/2024
S784402,A,01/31/2024
S784892,A,01/31/2024
S782210,A,01/31/2024
S781693,A,01/31/2024
S784558,A,01/31/2024
S785082,A,01/31/2024
S783350,A,01/31/2024
S784953,A,01/31/2024
S784896,A,01/31/2024
S783413,A,01/31/2024
S782577,A,01/31/2024
S783066,A,01/31/2024
S784542,A,01/31/2024
S785149,A,01/31/2024
S784249,A,01/31/2024
S785198,A,01/31/2024
S784951,A,01/31/2024
S784956,A,01/31/2024
S784796,A,01/31/2024
S784048,A,01/31/2024
S784962,A,01/31/2024
S784658,A,01/31/2024
S784754,A,01/31/2024
S783811,A,01/31/2024
S784318,A,01/31/2024
S784448,A,01/31/2024
S783552,A,01/31/2024
S784225,A,01/31/2024
S784755,A,01/31/2024
S784823,A,01/31/2024
S783900,A,01/31/2024
S784802,A,01/31/2024
S784514,A,01/31/2024
S783253,A,01/31/2024
S784145,A,01/31/2024
S784265,A,01/31/2024
S783347,A,01/31/2024
S784576,A,01/31/2024
S785536,A,02/12/2024
S785323,A,02/12/2024
S785343,A,02/12/2024
S785481,A,02/12/2024
S785325,A,02/12/2024
S785383,A,02/12/2024
S785396,A,02/12/2024
S785351,A,02/12/2024
